iter	Passed	Remaining
943	30140	1787
944	30165	1755
945	30188	1723
946	30216	1691
947	30242	1658
948	30265	1626
949	30291	1594
950	30320	1562
951	30344	1529
952	30369	1497
953	30397	1465
954	30425	1433
955	30451	1401
956	30476	1369
957	30500	1337
958	30530	1305
959	30555	1273
960	30583	1241
961	30610	1209
962	30640	1177
963	30663	1145
964	30689	1113
965	30715	1081
966	30743	1049
967	30769	1017
968	30795	985
969	30825	953
970	30850	921
971	30876	889
972	30904	857
973	30934	825
974	30959	793
975	30992	762
976	31020	730
977	31050	698
978	31078	666
979	31104	634
980	31133	602
981	31159	571
982	31189	539
983	31216	507
984	31245	475
985	31273	444
986	31301	412
987	31329	380
988	31356	348
989	31381	316
990	31404	285
991	31431	253
992	31463	221
993	31488	190
994	31513	158
995	31538	126
996	31567	94
997	31591	63
998	31616	31
999	31648	0
